cod_reg|nom_reg|prom_lect4b_reg|prom_mate4b_reg|dif_lect4b_reg|dif_mate4b_reg|sigdif_lect4b_reg|sigdif_mate4b_reg|fecha_bbdd|codigo_bbdd|grado|agno
1|Región de Tarapacá|265|250|6|8|1|1|20240418|final20240418v1|4b|2023
2|Región de Antofagasta|273|257|6|9|1|1|20240418|final20240418v1|4b|2023
3|Región de Atacama|271|256|8|13|1|1|20240418|final20240418v1|4b|2023
4|Región de Coquimbo|270|255|3|8|0|1|20240418|final20240418v1|4b|2023
5|Región de Valparaíso|267|254|4|6|0|1|20240418|final20240418v1|4b|2023
6|Región del Libertador Bernardo O'higgins|270|258|6|9|1|1|20240418|final20240418v1|4b|2023
7|Región del Maule|272|260|6|9|1|1|20240418|final20240418v1|4b|2023
8|Región del Biobío|273|259|5|10|0|1|20240418|final20240418v1|4b|2023
9|Región de La Araucanía|269|254|5|9|0|1|20240418|final20240418v1|4b|2023
10|Región de Los Lagos|270|256|4|9|0|1|20240418|final20240418v1|4b|2023
11|Región de Aysén del General Carlos Ibañez del Campo|267|252|0|2|0|0|20240418|final20240418v1|4b|2023
12|Región de Magallanes y de la Antártica Chilena|272|259|2|6|0|1|20240418|final20240418v1|4b|2023
13|Región metropolitana de santiago|275|262|5|8|0|1|20240418|final20240418v1|4b|2023
14|Región de los ríos|270|253|6|8|0|1|20240418|final20240418v1|4b|2023
15|Región de arica y parinacota|277|264|8|13|1|1|20240418|final20240418v1|4b|2023
16|Región de Ñuble|271|261|6|11|1|1|20240418|final20240418v1|4b|2023
